taxa.level	taxa.name	age	richness	e.div.0	e.div.5	e.div.9
Order	Ciconiiformes	76.0202	19	0.038732324	0.030289122	0.013544024
Order	Coliiformes	85.3136	6	0.021002038	0.014684212	0.004752643
Order	Columbiformes	84.6762	315	0.067936122	0.059787698	0.041075986
Order	Coraciiformes	79.6322	149	0.062838228	0.054217868	0.034659471
Order	Cuculiformes	78.8158	160	0.064392848	0.055677379	0.035872422
Order	Eurypygiformes	88.5324	2	0.007829305	0.00457985	0.001076557
Order	Falconiformes	84.15	66	0.049787935	0.041729595	0.023944183
Order	Galliformes	86.2369	219	0.062491483	0.054506602	0.036257803
Order	Gaviiformes	76.7534	5	0.020968946	0.014313533	0.004383809
Order	Gruiformes	83.2834	198	0.063497252	0.055234989	0.036383405
Order	Leptosomiformes	83.9247	1	0	0	0
Order	Mesitornithiformes	84.6762	3	0.012974275	0.008185856	0.002153162
Order	Musophagiformes	78.7602	23	0.039810643	0.031550284	0.014768256
Order	Opisthocomiformes	76.3009	1	0	0	0
Order	Otidiformes	78.8158	25	0.040840489	0.032543594	0.015527032
Order	Passeriformes	81.8263	6210	0.106737274	0.098268283	0.078615058
Order	Pelecaniformes	74.901	113	0.06311515	0.053978602	0.033396563
Order	Phaethontiformes	89.4953	3	0.012275642	0.007745068	0.002037219
Order	Phoenicopteriformes	76.4564	6	0.023435049	0.016385325	0.00530322
Order	Piciformes	79.6322	354	0.07370507	0.065036136	0.045105092
Order	Podicipediformes	76.4564	23	0.041010226	0.032500963	0.015213256
Order	Procellariiformes	73.25	138	0.067266262	0.057902072	0.036694164
Order	Psittaciformes	81.7248	370	0.072358733	0.06391028	0.044477944
Order	Pteroclidiformes	76.3009	16	0.036337562	0.028047718	0.012008911
Order	Rheiformes	70.9	3	0.015495237	0.009776406	0.002571531
Order	Sphenisciformes	73.1485	19	0.040252896	0.031478227	0.014075742
Order	Strigiformes	84.7173	319	0.068052111	0.059907171	0.041200894
Order	Struthioniformes	64.4398	15	0.042024497	0.032269522	0.013585839
Order	Suliformes	74.901	56	0.053742296	0.044724424	0.02499035
Order	Tinamiformes	102.8402	48	0.037642877	0.031103334	0.016923987
